frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,655061.462903,276641.000000,929.154992
4,342257.484194,178686.000000,1369.392201
8,540237.826538,249347.000000,212.306382
16,876474.022159,275591.000000,163.682620
32,1220883.981169,305430.000000,38693.573161
64,553351.349228,234284.000000,516.266404
128,1068187.818657,274927.000000,818.375220
256,1230311.048420,299465.000000,26791.680052
512,897608.031520,294634.000000,1790.793400
1024,767584.300044,261756.000000,24831.073577
2048,957235.979638,295087.000000,18832.169604
4096,686456.363444,135243.000000,167747.291218
8192,1350460.363095,209782.000000,877827.971840
16384,785419.943541,244927.000000,128772.600762
32768,1066789.968735,151091.000000,652487.897449
65536,2103676.498949,246926.000000,1973608.572529
