frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,403950.758399,89725.000000,1452.837568
4,83421.360340,18408.000000,385.258355
8,451725.474534,173194.000000,1073.753696
16,126283.297122,31770.000000,2082.081891
32,233205.005454,180691.000000,2335.870287
64,483013.559183,197601.000000,1580.643224
128,425005.656105,248881.000000,1161.239855
256,121142.583376,30105.000000,1139.789893
512,169808.859251,95532.000000,2962.616074
1024,409617.491655,250599.000000,8962.789521
2048,256399.944450,104738.000000,110823.665735
4096,242198.395348,106738.000000,24203.425253
8192,193908.282760,84868.000000,29209.745309
16384,584918.865283,260191.000000,322194.237621
32768,570908.366257,243618.000000,413812.286030
65536,525447.146764,128498.000000,392865.998291
