frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,266928.348852,77608.000000,44.609416
4,527184.460685,87862.000000,2946.811497
8,120094.390435,26109.000000,13.114877
16,327159.541189,145332.000000,1426.565456
32,489528.660004,281976.000000,28672.658998
64,397635.205863,44689.000000,41555.528561
128,390261.332178,119989.000000,75495.359381
256,139421.918295,22628.000000,279.019713
512,666534.066983,126387.000000,88808.582052
1024,183642.880262,57896.000000,25233.716353
2048,576712.414298,254026.000000,222615.031761
4096,496068.935865,233855.000000,26749.877701
8192,335347.384746,85973.000000,82501.553422
16384,381571.791318,61748.000000,134420.816435
32768,309462.848345,50276.000000,0.000000
65536,829392.496403,308787.000000,724120.925343
