frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,409180.392425,175307.000000,252.408399
4,1326336.249888,292004.000000,25048.218260
8,471957.272334,227114.000000,931.506844
16,219794.632262,82998.000000,2781.860169
32,859788.628492,252433.000000,262.164071
64,747372.860653,271459.000000,5188.658979
128,1502263.021473,273493.000000,250178.169481
256,875830.926872,297555.000000,57151.830014
512,1037764.934993,294651.000000,134964.261362
1024,1290610.868630,265943.000000,146116.999247
2048,1563806.265372,291007.000000,408574.278127
4096,1296416.157491,284600.000000,659034.562242
8192,1080190.091277,289424.000000,623140.305308
16384,1809454.188666,233087.000000,577502.331187
32768,830266.696891,115865.000000,769163.798873
65536,889005.086165,87817.000000,881105.490464
