batch,SRPT,FCFS,BAL,SJF,RR,RMLF,MLFQ,SETF
1,969.0217,851.5920,969.0217,887.6232,1253.0535,1643.5650,18701.6171,52610.0615
2,3004.7461,2288.1396,3004.7461,2852.1620,3735.0956,36051.1666,46771.8370,60886.3550
3,29658.6478,3612.5351,29658.6478,29603.0147,6301.0829,37656.0817,75424.4796,74455.4251
4,23478.2159,5550.0104,23478.2159,23301.7682,11232.9387,35513.4451,103152.9983,81432.8207
5,14386.2702,8731.1979,14386.2702,14288.6284,16098.1173,39984.1446,128909.5853,61186.5017
6,31068.1804,8583.0207,31057.2001,30378.0701,15740.1174,50992.8526,159427.0132,77479.3487
7,9752.2439,11258.6620,9752.2439,9593.5917,20345.9098,30702.5112,187676.6929,40067.0581
8,18335.0598,10071.4681,18335.0598,18297.2081,16187.3106,34110.7631,218123.9941,40385.7966
9,2230.4809,6545.6239,2230.4809,2218.9236,10154.8316,20591.8771,251528.5158,27267.7309
10,12206.6461,4205.1763,12206.6461,12117.4261,7815.6309,29264.1559,285500.8772,17855.7508
11,10410.5241,6181.6952,10410.5241,9563.0124,10569.1610,21910.0336,313738.1853,23421.4703
12,5626.7223,5778.0296,5626.9214,5417.5278,10399.5552,18909.5984,344745.0685,17660.6945
13,2450.2728,4852.4181,2450.2728,2339.6720,7752.5262,10904.4403,376585.4089,7029.9120
14,1781.9705,1695.3038,1781.9705,1858.6242,2634.2832,3431.1896,411440.9995,3459.3252
15,3266.9940,1077.4855,3266.9940,3256.4597,1835.1294,4008.4755,447600.4480,7038.3864
16,3559.7661,2653.0814,3559.7661,3501.5017,4437.3534,7281.0959,479128.5242,6981.6555
17,4458.1722,2479.1517,4458.1722,4383.1693,4579.9547,8494.3411,510274.4747,10245.8394
18,4031.2560,2286.7096,4031.2560,3854.1135,3361.9353,10307.5734,541631.4393,26030.1185
19,11164.8356,4096.4792,11164.8356,10830.0840,7519.9296,20753.7098,570371.3526,30533.7599
20,11384.6022,6023.8757,11384.6022,11254.8836,11030.3698,18994.7197,598811.4319,22175.0815
21,4210.5788,5683.3397,4210.5788,4183.5522,8926.7229,10657.6501,630175.7518,7598.9424
22,35360.6878,3476.4191,35309.3839,35231.6918,6994.3973,39667.8430,664775.2875,72319.3191
23,32778.2589,7660.0002,32764.7434,32735.9935,16284.9639,48232.6553,690368.7663,71420.4162
24,24511.0345,12318.7382,24497.9886,23446.3749,21124.2225,47500.1454,715835.9402,60963.4028
25,15930.0071,11504.3412,15930.0071,15602.2977,21979.0159,37770.9558,748184.8085,44893.8389
26,13937.0500,12620.8899,13937.0500,13919.8743,20722.9535,33527.7357,777820.3602,35082.6637
27,7381.9562,10226.5065,7381.9562,7244.6479,16940.1933,26223.8238,810363.3296,27471.6121
28,5304.7217,7469.4140,5306.6939,5403.0308,12606.7499,20126.7802,842545.4378,11248.3128
29,5072.0520,3872.5097,5072.5775,5054.6797,6096.3188,8522.0786,876507.5826,13609.2546
30,2413.4734,3124.8128,2413.4734,2231.7388,5112.7093,7191.2224,908245.8027,6350.7715
