frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,815357.026309,33958.000000,17313.926360
4,795795.872234,34424.000000,21407.482570
8,877821.428123,31698.000000,133.101465
16,826146.707409,32563.000000,50895.118440
32,1039581.839012,44305.000000,47512.877675
64,1088355.127476,35879.000000,74645.700332
128,1241620.829177,83925.000000,3403.969741
256,1191191.479526,55026.000000,83523.411347
512,1263694.522343,67980.000000,170692.923544
1024,817196.211545,34430.000000,54109.914276
2048,1463484.940303,130627.000000,477503.068434
4096,1612383.464118,138524.000000,190775.501263
8192,980537.336472,61318.000000,317096.062721
16384,3128785.170640,235910.000000,1951156.898813
32768,793186.015126,34428.000000,407535.148584
65536,2394182.001596,185068.000000,2191398.382515
