frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,800769.675894,37679.000000,0.000000
4,957811.037471,37273.000000,0.000000
8,421355.282293,39085.000000,0.000000
16,1051054.831081,37247.000000,0.000000
32,867752.687988,37231.000000,0.000000
64,1072445.704721,43738.000000,0.000000
128,892719.099891,38660.000000,0.000000
256,1099614.362221,39126.000000,0.000000
512,1290271.279993,37698.000000,0.000000
1024,993324.549980,36289.000000,0.000000
2048,1294961.084002,123259.000000,0.000000
4096,1145925.892408,39567.000000,0.000000
8192,1118729.489876,36824.000000,0.000000
16384,1823752.577615,144078.000000,0.000000
32768,1618456.453981,117379.000000,0.000000
65536,2559698.445914,177277.000000,0.000000
