frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,620496.531936,33971.000000,0.000000
4,618341.869261,36827.000000,0.000000
8,764747.338775,33027.000000,0.000000
16,825037.246174,33980.000000,0.000000
32,946533.042486,33494.000000,0.000000
64,1066100.000260,34427.000000,0.000000
128,997516.801185,51191.000000,0.000000
256,1109550.396360,60114.000000,0.000000
512,1284115.906915,74796.000000,0.000000
1024,1103192.843023,60949.000000,0.000000
2048,984436.159873,41383.000000,0.000000
4096,1228799.676927,58208.000000,0.000000
8192,887920.817263,37223.000000,0.000000
16384,632812.188358,31633.000000,0.000000
32768,631676.217169,30719.000000,0.000000
65536,944208.990530,56065.000000,0.000000
