frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,576386.139862,35903.000000,22810.650078
4,933670.015217,33505.000000,28376.132471
8,703134.812803,34434.000000,79.937476
16,881432.496816,34905.000000,12075.010600
32,1084929.734371,33512.000000,48549.107273
64,1115805.149384,35829.000000,31503.783281
128,930243.414866,36211.000000,1545.478890
256,941133.562738,33161.000000,67456.911996
512,1432504.158294,103529.000000,132898.287792
1024,1314239.471920,98634.000000,192447.493159
2048,2096429.755709,214704.000000,189915.682270
4096,1083064.213709,35931.000000,290365.064762
8192,1531041.275012,132715.000000,257468.493952
16384,655214.739539,34430.000000,258568.919602
32768,4137483.141073,245353.000000,1534258.679575
65536,6157990.544693,279988.000000,5577146.680813
