frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,669104.805523,36750.000000,523.322081
4,791544.464275,36754.000000,58.830264
8,774054.418272,39589.000000,34222.766224
16,1109629.743669,36290.000000,24157.125201
32,889782.799103,42343.000000,15203.486409
64,966246.807027,37265.000000,6552.621079
128,1360862.458199,121056.000000,149125.964034
256,1565985.892337,124174.000000,159481.011080
512,1232531.810811,86654.000000,133512.903800
1024,832035.177064,40547.000000,96855.291606
2048,1236127.307134,79584.000000,250320.288205
4096,694454.286214,38613.000000,208290.257528
8192,769434.036765,45121.000000,298223.815100
16384,1675394.165347,106037.000000,467069.703309
32768,1114611.081288,55432.000000,550691.987383
65536,5688364.205798,274237.000000,5688364.205798
