frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,767877.578734,31724.000000,0.000000
4,731201.755126,28841.000000,0.000000
8,715758.965317,30238.000000,0.000000
16,863729.165565,27509.000000,0.000000
32,1341852.926022,123922.000000,0.000000
64,855030.450260,30252.000000,0.000000
128,998114.471320,29168.000000,0.000000
256,1367618.397109,107271.000000,0.000000
512,1621071.986140,161867.000000,0.000000
1024,919083.829863,31229.000000,0.000000
2048,895193.047160,27933.000000,0.000000
4096,926506.188553,30258.000000,0.000000
8192,1196970.705119,68644.000000,0.000000
16384,2363075.195929,178533.000000,0.000000
32768,1885570.217630,130821.000000,0.000000
65536,3396221.674306,202498.000000,0.000000
