batch,SRPT,FCFS,BAL,SJF,RR,RMLF,MLFQ,SETF
1,52386.5390,2945.0840,49188.7086,52166.2727,5388.1723,17434.6687,16671.6102,196332.4961
2,54440.7900,6554.5070,50409.9783,54316.2003,12059.7673,223880.4093,42380.9962,242645.5728
3,78531.4294,9074.0096,77440.7693,78321.0444,19772.2846,304875.1907,70070.8518,282084.5764
4,53244.8172,14664.0905,53140.6167,53117.1873,29762.3338,223866.0621,95221.4848,238187.8046
5,36396.4540,18125.1966,37209.9777,35941.9525,34859.7722,78536.0778,122510.8574,261429.5065
6,43414.9978,21935.5900,43855.5238,43360.9155,42855.8405,167743.6199,149804.5125,226441.3655
7,30382.8637,23903.1410,31453.4874,30356.0446,45742.7504,77305.1533,179836.9565,245537.2588
8,21300.0083,25088.6760,22029.3618,20974.3616,43540.3944,67128.8690,208354.4140,147539.6321
9,22745.0134,24798.3176,23018.2213,22678.6530,40887.1435,196614.8497,237183.8887,266014.2048
10,40115.7525,22886.5115,37177.6282,37090.7923,38855.7056,191020.8122,268886.8135,133583.4268
11,5438.0098,18605.7036,6401.5224,5432.1309,29828.7775,35853.1037,301730.2903,215232.5703
12,27865.7901,16001.7826,28006.6314,27849.8072,24715.6260,125474.9140,333106.6195,171390.1653
13,1245.2385,8744.5150,1639.1910,1238.5213,12688.7470,118931.5924,371039.9831,165622.2410
14,30295.7191,4531.0306,30284.2619,30494.5341,8756.4078,200939.4857,405574.5235,261323.5736
15,16284.3854,7156.3131,16952.8197,16455.0228,12900.5461,114473.5307,433506.0931,252352.2787
16,107148.8130,6328.2415,33546.0784,107140.0904,10746.8269,158377.2397,463986.3711,220911.1881
17,18945.9139,8579.5710,19404.2216,18330.9193,17795.1647,40292.5875,491979.9074,303388.7788
18,143491.0168,12599.5438,43682.0557,143465.9054,22340.6880,151049.9611,518640.5309,150965.9256
19,140656.9282,12010.8342,42734.7735,140619.7444,21958.0764,178330.8920,551244.1216,226572.6208
20,1255.2342,11030.3812,1298.0485,1375.5617,17042.5284,22105.3548,582204.6119,4907.4432
21,121349.1532,6019.2490,40572.8703,121281.3012,10310.1986,34783.0824,614677.4931,224698.2205
