frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_max_flow_time,Dynamic_BAL_njobs100_mode2_max_flow_time,Dynamic_BAL_njobs100_mode3_max_flow_time,Dynamic_BAL_njobs100_mode4_max_flow_time,Dynamic_BAL_njobs100_mode5_max_flow_time,Dynamic_BAL_njobs100_mode6_max_flow_time,Dynamic_BAL_njobs100_mode7_max_flow_time
1024,199356.377653,150650.065851,150650.065851,150650.065851,199356.377653,150650.065851,150650.065851,34180.000000,47173.000000,47173.000000,47173.000000,34180.000000,47173.000000,47173.000000
8192,113163.834947,113163.834947,113163.834947,113163.834947,113163.834947,113163.834947,113163.834947,38053.000000,38053.000000,38053.000000,38053.000000,38053.000000,38053.000000,38053.000000
4096,113969.879003,113969.879003,113969.879003,113969.879003,113969.879003,113969.879003,113969.879003,21638.000000,21638.000000,21638.000000,21638.000000,21638.000000,21638.000000,21638.000000
8,195438.967240,195438.967240,195438.967240,195438.967240,195438.967240,195438.967240,195438.967240,56091.000000,56091.000000,56091.000000,56091.000000,56091.000000,56091.000000,56091.000000
65536,204851.189298,204851.189298,194936.469797,194936.469797,204851.189298,191517.424941,194936.469797,10966.000000,10966.000000,13189.000000,13189.000000,10966.000000,13189.000000,13189.000000
256,125944.043511,125944.043511,125944.043511,125944.043511,125944.043511,125944.043511,125944.043511,40041.000000,40041.000000,40041.000000,40041.000000,40041.000000,40041.000000,40041.000000
2048,223800.382864,223800.382864,223800.382864,223800.382864,223800.382864,223800.382864,223800.382864,53670.000000,53670.000000,53670.000000,53670.000000,53670.000000,53670.000000,53670.000000
128,174694.612184,174694.612184,174694.612184,174694.612184,174694.612184,174694.612184,174694.612184,54943.000000,54943.000000,54943.000000,54943.000000,54943.000000,54943.000000,54943.000000
32,227765.865177,191675.001915,227765.865177,227765.865177,227765.865177,191675.001915,191675.001915,52574.000000,57252.000000,52574.000000,52574.000000,52574.000000,57252.000000,57252.000000
64,204427.185188,204427.185188,204427.185188,204427.185188,204427.185188,204427.185188,204427.185188,48709.000000,48709.000000,48709.000000,48709.000000,48709.000000,48709.000000,48709.000000
2,171414.731211,171414.731211,171414.731211,171414.731211,171414.731211,171414.731211,171414.731211,35652.000000,35652.000000,35652.000000,35652.000000,35652.000000,35652.000000,35652.000000
16384,9270.414554,9270.414554,9270.414554,9270.414554,9270.414554,9270.414554,9270.414554,7171.000000,7171.000000,7171.000000,7171.000000,7171.000000,7171.000000,7171.000000
4,153861.500935,153861.500935,153861.500935,153861.500935,153861.500935,153861.500935,153861.500935,40437.000000,40437.000000,40437.000000,40437.000000,40437.000000,40437.000000,40437.000000
512,202121.615940,175278.189442,175278.189442,175278.189442,202121.615940,164532.529486,175278.189442,65058.000000,65058.000000,65058.000000,65058.000000,65058.000000,65058.000000,65058.000000
16,211436.852859,211436.852859,211436.852859,211436.852859,211436.852859,211436.852859,211436.852859,54372.000000,54372.000000,54372.000000,54372.000000,54372.000000,54372.000000,54372.000000
32768,403125.299444,403125.299444,403125.299444,403125.299444,403125.299444,403125.299444,403125.299444,114439.000000,114439.000000,114439.000000,114439.000000,114439.000000,114439.000000,114439.000000
