frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,159963.991873,41578.000000
128,236748.654862,50421.000000
16,172133.482859,43660.000000
2048,284548.782169,53811.000000
16384,298757.907939,49045.000000
2,171780.345552,66125.000000
256,191170.742762,46326.000000
32,194554.723957,53161.000000
32768,164078.175237,66630.000000
65536,34813.278501,19098.000000
512,158185.419044,50087.000000
8,171222.421464,46196.000000
64,198106.000167,47952.000000
8192,330596.081043,25831.000000
4096,224839.674368,61742.000000
4,165599.489966,35920.000000
