frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,103560.004143,38627.000000
128,180622.186791,42985.000000
256,195179.067871,42749.000000
2,143972.686295,36719.000000
2048,290436.634659,59412.000000
16384,294751.919531,67948.000000
16,177304.984335,45571.000000
32768,129038.224538,52111.000000
32,178431.775996,45935.000000
65536,4182.722080,1709.000000
8,209926.869443,49487.000000
8192,122837.247458,23906.000000
512,235307.686630,48973.000000
64,167302.379956,44805.000000
4096,92016.852098,39931.000000
4,138318.745794,36812.000000
