frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,266092.148251,60069.000000
128,167515.964809,45508.000000
16,177469.670789,50618.000000
16384,94190.249936,25583.000000
256,177524.432324,45184.000000
2048,143997.253870,35485.000000
2,185734.503741,42857.000000
32768,168111.637970,59245.000000
32,181362.127590,41417.000000
4,151663.155598,36913.000000
64,160945.097201,44498.000000
65536,147242.839690,45003.000000
8,203946.960916,80275.000000
512,168241.377208,43235.000000
4096,217479.239572,45133.000000
8192,217869.582925,52555.000000
