frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,260162.088585,50434.000000
16384,204717.407291,51667.000000
128,145567.462999,36643.000000
16,162862.326746,40443.000000
2048,262765.609352,87659.000000
2,201448.463769,48396.000000
256,158776.428789,40723.000000
32768,162884.915256,41842.000000
64,187170.569457,63484.000000
8,145963.298449,42907.000000
32,194133.018650,55850.000000
512,183486.599135,46557.000000
4,148751.145364,36317.000000
4096,182263.933530,38859.000000
8192,616134.739341,69459.000000
65536,630393.007744,70195.000000
