frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,203947.290288,44575.000000
128,208901.403901,51283.000000
16384,5112.800505,2901.000000
2,180566.780815,41477.000000
16,169743.599043,40237.000000
2048,200010.873324,40331.000000
256,188913.630308,42441.000000
32768,620436.233464,34551.000000
65536,430044.176548,24323.000000
8,180717.978823,54511.000000
512,145799.412595,36996.000000
64,178734.614826,38576.000000
8192,117359.139631,35344.000000
4,175565.776662,53358.000000
32,185969.284668,47722.000000
4096,195565.672969,40817.000000
