frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,150650.065851,47173.000000
128,174694.612184,54943.000000
16,211436.852859,54372.000000
16384,9270.414554,7171.000000
2,171414.731211,35652.000000
2048,223800.382864,53670.000000
256,125944.043511,40041.000000
32768,403125.299444,114439.000000
32,191675.001915,57252.000000
512,164532.529486,65058.000000
8,195438.967240,56091.000000
65536,192066.623071,13189.000000
64,204427.185188,48709.000000
4096,113969.879003,21638.000000
4,153861.500935,40437.000000
8192,113163.834947,38053.000000
