frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,177627.334712,47256.000000
128,199447.458836,43524.000000
16,198938.950178,51726.000000
16384,35939.288877,13259.000000
2048,202823.612338,53797.000000
2,161850.209845,33068.000000
256,204351.339193,53385.000000
32768,79588.091967,6627.000000
32,188924.042329,44921.000000
8,192700.055130,47185.000000
64,181628.800775,49019.000000
65536,323575.247275,48876.000000
4,182894.601492,44518.000000
4096,254644.398906,147979.000000
8192,70802.394317,28737.000000
512,169804.222554,34691.000000
