frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,204510.079148,48717.000000
128,170570.616790,43984.000000
16384,16294.834151,14778.000000
256,219751.833974,45526.000000
2048,214439.246895,42779.000000
2,183784.356478,36565.000000
16,184661.224785,55562.000000
32768,10716.166012,3833.000000
32,182145.168624,42471.000000
512,191499.650470,51255.000000
64,172366.038482,42499.000000
65536,12789.152943,10894.000000
4096,174758.936349,45491.000000
8192,207243.079248,59980.000000
4,175666.151700,44917.000000
8,145824.749940,46433.000000
