frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,254996.306461,52921.000000
128,187764.834431,53525.000000
16,189987.384000,46160.000000
16384,341598.035886,80333.000000
2048,216310.714681,41419.000000
2,197057.293846,61710.000000
256,237138.785780,53007.000000
32768,93874.009369,50384.000000
32,188792.956037,45508.000000
65536,276502.187612,52820.000000
8,125224.777712,39508.000000
512,165012.562970,44548.000000
64,137410.980365,40939.000000
8192,259129.456197,52842.000000
4096,375785.032278,75755.000000
4,198028.008953,51842.000000
