frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,235185.832941,52194.000000
16384,282431.037106,103992.000000
128,237289.018214,48389.000000
2048,167350.926412,41193.000000
16,193903.542196,43427.000000
256,193463.853864,45520.000000
2,178212.876883,50353.000000
32768,100032.539121,37711.000000
65536,272558.268268,70826.000000
4096,202454.906130,165595.000000
64,168622.123623,37912.000000
8,178089.873365,52138.000000
512,191641.175004,50239.000000
8192,144922.199400,32068.000000
32,167042.009899,38867.000000
4,188789.567469,43470.000000
