frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,21222154.841920,504488.000000,410202.115190
4,21856295.073542,496902.000000,674136.917546
8,21209724.754844,484113.000000,516451.288095
16,21515106.285459,489629.000000,402736.244954
32,21445772.982696,483339.000000,959187.216978
64,22571420.180239,515498.000000,806684.215277
128,21478440.122847,479236.000000,1115262.222985
256,22326923.916293,509534.000000,2191209.300330
512,22929398.133745,498747.000000,2236704.940559
1024,20145793.938696,465731.000000,3208477.841470
2048,25181216.645127,547672.000000,4067149.260227
4096,25596662.080362,522876.000000,3714242.029621
8192,22626423.513678,501293.000000,9581342.442832
16384,19436780.050240,429068.000000,1070040.598971
32768,10865829.130359,250174.000000,2853150.064802
65536,25373838.969477,497259.000000,14657240.334479
