frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,22072908.530124,510319.000000,455004.626383
4,21959384.901265,495648.000000,41878.716635
8,21709246.752549,523875.000000,872369.692773
16,21430453.708790,502355.000000,383964.615237
32,21694704.653446,487654.000000,731831.910345
64,22197757.860699,505792.000000,1293081.732161
128,21935600.293435,500249.000000,743815.322033
256,21276181.240637,480843.000000,1109911.665021
512,22190040.553056,485517.000000,2684775.124138
1024,20147999.710858,483617.000000,2444068.270458
2048,19107554.215768,468786.000000,3328634.757654
4096,21135453.028918,482314.000000,7579974.789744
8192,20847563.098817,502303.000000,10178051.234224
16384,20681580.130915,448668.000000,10790845.464780
32768,37749392.722412,678490.000000,16555776.777534
65536,14093926.778661,355209.000000,0.000000
