frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,21351373.568920,494516.000000,662200.658257
4,21427965.251133,507270.000000,531094.314708
8,21816728.893698,504508.000000,452612.451534
16,21698578.915144,493396.000000,813113.548675
32,21567198.972323,500810.000000,46719.019639
64,22563794.424174,525494.000000,490497.313058
128,22232378.290357,519516.000000,79529.117831
256,23181514.553553,511114.000000,2161480.202011
512,21776866.009416,490493.000000,2223421.023934
1024,24286581.135600,519253.000000,4317165.022947
2048,20563980.062449,459640.000000,374116.825015
4096,17360610.279240,408367.000000,4761576.436762
8192,22127556.132655,511894.000000,8517677.487017
16384,14278233.717333,387716.000000,1589992.869766
32768,15576758.045702,363233.000000,6555470.386643
65536,41398077.564193,657294.000000,38680448.401858
