arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
34.00,16.77,64.00,100.00,0.00,397
38.00,30.00,6.00,100.00,0.00,397
36.00,16.77,64.00,100.00,0.00,397
38.00,30.00,12.00,100.00,0.00,397
34.00,30.00,12.00,100.00,0.00,397
32.00,30.00,9.00,100.00,0.00,397
38.00,30.00,18.00,100.00,0.00,397
36.00,30.00,9.00,100.00,0.00,397
40.00,30.00,9.00,100.00,0.00,397
32.00,30.00,15.00,100.00,0.00,397
36.00,30.00,6.00,100.00,0.00,397
40.00,30.00,6.00,100.00,0.00,397
40.00,16.77,64.00,100.00,0.00,397
32.00,30.00,18.00,100.00,0.00,397
40.00,30.00,15.00,100.00,0.00,397
34.00,30.00,18.00,100.00,0.00,397
34.00,30.00,6.00,100.00,0.00,397
38.00,16.77,64.00,100.00,0.00,397
34.00,30.00,9.00,100.00,0.00,397
34.00,30.00,15.00,100.00,0.00,397
40.00,30.00,12.00,100.00,0.00,397
36.00,30.00,12.00,100.00,0.00,397
30.00,30.00,9.00,100.00,0.00,397
38.00,30.00,9.00,100.00,0.00,397
36.00,30.00,18.00,100.00,0.00,397
32.00,30.00,6.00,100.00,0.00,397
40.00,30.00,18.00,100.00,0.00,397
30.00,30.00,12.00,100.00,0.00,397
38.00,30.00,15.00,100.00,0.00,397
36.00,30.00,15.00,100.00,0.00,397
32.00,16.77,64.00,100.00,0.00,397
32.00,30.00,12.00,100.00,0.00,397
30.00,16.77,64.00,100.00,0.00,397
30.00,30.00,6.00,100.00,0.00,397
28.00,30.00,18.00,100.00,0.00,397
30.00,30.00,15.00,100.00,0.00,397
24.00,30.00,12.00,100.00,0.00,397
20.00,7.92,512.00,0.25,99.75,394
28.00,7.92,512.00,4.03,95.97,397
28.00,16.77,64.00,100.00,0.00,397
26.00,16.77,64.00,100.00,0.00,396
30.00,30.00,18.00,100.00,0.00,397
28.00,30.00,6.00,100.00,0.00,397
28.00,30.00,15.00,100.00,0.00,397
26.00,30.00,15.00,100.00,0.00,397
30.00,5.65,4096.00,0.25,99.75,397
20.00,30.00,6.00,100.00,0.00,395
38.00,4.07,262144.00,0.25,99.75,397
24.00,30.00,9.00,100.00,0.00,396
24.00,30.00,6.00,100.00,0.00,396
20.00,30.00,12.00,100.00,0.00,395
20.00,30.00,15.00,100.00,0.00,396
28.00,30.00,9.00,100.00,0.00,397
40.00,4.07,262144.00,0.25,99.75,397
22.00,30.00,15.00,100.00,0.00,396
26.00,30.00,18.00,100.00,0.00,396
34.00,4.64,32768.00,0.50,99.50,397
26.00,30.00,12.00,100.00,0.00,397
22.00,30.00,18.00,100.00,0.00,396
26.00,30.00,6.00,100.00,0.00,397
36.00,4.07,262144.00,0.25,99.75,397
32.00,5.65,4096.00,0.25,99.75,397
20.00,4.64,32768.00,0.25,99.75,397
22.00,30.00,9.00,100.00,0.00,395
32.00,7.92,512.00,2.02,97.98,397
36.00,7.92,512.00,3.27,96.73,397
28.00,30.00,12.00,100.00,0.00,397
34.00,5.65,4096.00,0.25,99.75,397
38.00,7.92,512.00,0.76,99.24,397
20.00,30.00,9.00,100.00,0.00,396
22.00,4.64,32768.00,0.25,99.75,397
20.00,5.65,4096.00,0.25,99.75,397
30.00,4.64,32768.00,0.25,99.75,395
30.00,4.07,262144.00,0.25,99.75,397
24.00,5.65,4096.00,0.25,99.75,397
24.00,30.00,18.00,100.00,0.00,396
20.00,4.07,262144.00,0.25,99.75,396
22.00,30.00,12.00,100.00,0.00,396
38.00,4.64,32768.00,0.25,99.75,397
26.00,30.00,9.00,100.00,0.00,396
28.00,4.07,262144.00,0.25,99.75,397
36.00,5.65,4096.00,0.25,99.75,397
26.00,7.92,512.00,4.28,95.72,397
24.00,4.64,32768.00,0.25,99.75,393
32.00,4.07,262144.00,0.25,99.75,397
34.00,7.92,512.00,0.25,99.75,397
22.00,5.65,4096.00,0.51,99.49,396
22.00,7.92,512.00,0.50,99.50,397
36.00,4.64,32768.00,0.25,99.75,397
28.00,4.64,32768.00,0.25,99.75,396
26.00,5.65,4096.00,0.25,99.75,397
24.00,16.77,64.00,100.00,0.00,396
26.00,4.07,262144.00,0.25,99.75,397
30.00,7.92,512.00,1.52,98.48,396
22.00,30.00,6.00,100.00,0.00,396
40.00,4.64,32768.00,0.25,99.75,397
24.00,30.00,15.00,100.00,0.00,396
32.00,4.64,32768.00,0.25,99.75,397
40.00,5.65,4096.00,0.25,99.75,397
26.00,4.64,32768.00,0.25,99.75,396
22.00,4.07,262144.00,0.25,99.75,397
38.00,5.65,4096.00,0.51,99.49,396
24.00,7.92,512.00,2.28,97.72,395
20.00,16.77,64.00,100.00,0.00,395
22.00,16.77,64.00,100.00,0.00,396
28.00,5.65,4096.00,0.25,99.75,397
20.00,30.00,18.00,100.00,0.00,394
34.00,4.07,262144.00,0.50,99.50,397
24.00,4.07,262144.00,0.25,99.75,397
40.00,7.92,512.00,5.54,94.46,397
40.00,30.00,18.00,100.00,0.00,397
32.00,30.00,18.00,100.00,0.00,397
36.00,30.00,12.00,100.00,0.00,397
32.00,30.00,12.00,100.00,0.00,397
36.00,30.00,18.00,100.00,0.00,397
36.00,30.00,6.00,100.00,0.00,397
32.00,30.00,9.00,100.00,0.00,397
36.00,30.00,9.00,100.00,0.00,397
32.00,30.00,6.00,100.00,0.00,397
40.00,16.77,64.00,100.00,0.00,397
34.00,30.00,9.00,100.00,0.00,397
36.00,30.00,15.00,100.00,0.00,397
38.00,30.00,18.00,100.00,0.00,397
34.00,30.00,18.00,100.00,0.00,397
36.00,16.77,64.00,100.00,0.00,397
38.00,30.00,12.00,100.00,0.00,397
40.00,30.00,9.00,100.00,0.00,397
34.00,30.00,12.00,100.00,0.00,397
38.00,30.00,6.00,100.00,0.00,397
32.00,16.77,64.00,100.00,0.00,397
34.00,30.00,6.00,100.00,0.00,397
34.00,30.00,15.00,100.00,0.00,397
40.00,30.00,6.00,100.00,0.00,397
40.00,30.00,15.00,100.00,0.00,397
30.00,30.00,18.00,100.00,0.00,397
38.00,16.77,64.00,100.00,0.00,397
40.00,30.00,12.00,100.00,0.00,397
34.00,16.77,64.00,100.00,0.00,397
38.00,30.00,9.00,100.00,0.00,397
38.00,30.00,15.00,100.00,0.00,397
30.00,30.00,6.00,100.00,0.00,397
30.00,30.00,9.00,100.00,0.00,397
32.00,30.00,15.00,100.00,0.00,397
30.00,30.00,15.00,100.00,0.00,397
30.00,16.77,64.00,100.00,0.00,397
30.00,30.00,12.00,100.00,0.00,397
24.00,30.00,9.00,100.00,0.00,396
26.00,30.00,6.00,100.00,0.00,396
26.00,16.77,64.00,100.00,0.00,397
26.00,30.00,18.00,100.00,0.00,397
28.00,30.00,15.00,100.00,0.00,396
32.00,7.92,512.00,1.01,98.99,397
28.00,16.77,64.00,100.00,0.00,396
28.00,30.00,6.00,100.00,0.00,397
40.00,4.07,262144.00,0.25,99.75,397
26.00,30.00,12.00,100.00,0.00,397
32.00,4.07,262144.00,0.25,99.75,397
28.00,30.00,12.00,100.00,0.00,397
30.00,7.92,512.00,2.27,97.73,397
22.00,7.92,512.00,3.80,96.20,395
20.00,30.00,18.00,100.00,0.00,395
28.00,30.00,9.00,100.00,0.00,397
26.00,30.00,9.00,100.00,0.00,396
20.00,4.64,32768.00,0.25,99.75,396
24.00,4.07,262144.00,0.25,99.75,397
26.00,4.07,262144.00,0.25,99.75,397
28.00,30.00,18.00,100.00,0.00,397
28.00,7.92,512.00,2.02,97.98,396
22.00,30.00,12.00,100.00,0.00,395
24.00,5.65,4096.00,0.50,99.50,397
38.00,4.64,32768.00,0.25,99.75,397
22.00,30.00,18.00,100.00,0.00,395
20.00,16.77,64.00,100.00,0.00,396
40.00,5.65,4096.00,0.25,99.75,397
34.00,4.07,262144.00,0.50,99.50,397
20.00,30.00,12.00,100.00,0.00,395
24.00,16.77,64.00,100.00,0.00,396
24.00,4.64,32768.00,0.25,99.75,397
28.00,4.64,32768.00,0.25,99.75,397
20.00,30.00,15.00,100.00,0.00,396
24.00,30.00,12.00,100.00,0.00,396
26.00,30.00,15.00,100.00,0.00,396
28.00,5.65,4096.00,0.25,99.75,393
40.00,4.64,32768.00,0.25,99.75,396
20.00,30.00,9.00,100.00,0.00,396
20.00,30.00,6.00,100.00,0.00,395
32.00,5.65,4096.00,0.25,99.75,396
40.00,7.92,512.00,0.50,99.50,397
36.00,4.07,262144.00,0.25,99.75,397
28.00,4.07,262144.00,0.25,99.75,397
30.00,4.64,32768.00,0.25,99.75,397
38.00,7.92,512.00,0.50,99.50,397
26.00,4.64,32768.00,0.25,99.75,393
24.00,30.00,18.00,100.00,0.00,396
38.00,5.65,4096.00,0.25,99.75,397
22.00,4.07,262144.00,0.25,99.75,394
36.00,5.65,4096.00,0.25,99.75,397
30.00,4.07,262144.00,0.25,99.75,397
20.00,4.07,262144.00,0.25,99.75,395
22.00,30.00,9.00,100.00,0.00,396
38.00,4.07,262144.00,0.25,99.75,397
22.00,4.64,32768.00,0.25,99.75,397
30.00,5.65,4096.00,0.25,99.75,397
26.00,7.92,512.00,2.78,97.22,396
34.00,5.65,4096.00,0.25,99.75,397
32.00,4.64,32768.00,0.25,99.75,397
36.00,4.64,32768.00,0.25,99.75,397
36.00,7.92,512.00,0.76,99.24,397
20.00,5.65,4096.00,0.25,99.75,396
22.00,16.77,64.00,100.00,0.00,396
24.00,30.00,6.00,100.00,0.00,396
34.00,4.64,32768.00,0.25,99.75,397
22.00,30.00,15.00,100.00,0.00,396
24.00,7.92,512.00,1.01,98.99,397
20.00,7.92,512.00,1.52,98.48,395
26.00,5.65,4096.00,0.25,99.75,395
24.00,30.00,15.00,100.00,0.00,397
22.00,5.65,4096.00,0.25,99.75,396
34.00,7.92,512.00,1.01,98.99,396
22.00,30.00,6.00,100.00,0.00,396
