frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,490109.315518,244770.000000,46.043458
4,346189.994174,230807.000000,295.841174
8,431382.463961,167419.000000,50.457903
16,346723.188916,200718.000000,35.972211
32,465501.817471,239963.000000,159.652748
64,309869.673660,267218.000000,3153.766003
128,359812.105914,234677.000000,1118.870413
256,308835.387908,110367.000000,2529.641477
512,142500.566371,80763.000000,14120.127266
1024,286548.651063,107338.000000,33729.527776
2048,685591.472447,292893.000000,60789.743740
4096,955565.686108,301452.000000,113638.799100
8192,480215.914753,223785.000000,114978.527382
16384,148879.306819,49378.000000,14266.333236
32768,373258.189354,132412.000000,0.000000
65536,275749.589506,104539.000000,140556.766952
