frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,194134.151568,158896.000000,78.905006
4,273326.102519,224434.000000,19.849433
8,251635.390516,216060.000000,47.233463
16,123880.238440,83213.000000,75.491721
32,454865.982160,281113.000000,3816.826430
64,307815.100929,220674.000000,400.797954
128,278429.608749,169538.000000,1783.219560
256,157655.844386,80804.000000,456.368272
512,334731.857719,211369.000000,47441.822383
1024,588733.843421,298533.000000,10920.990294
2048,321632.466508,271332.000000,48256.165741
4096,232851.049235,116102.000000,2286.062116
8192,648181.612410,317528.000000,455033.360336
16384,383061.049988,145052.000000,366391.683203
32768,149811.350094,87792.000000,112960.598839
65536,820158.078061,269823.000000,642774.882460
