frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,309042.108021,257807.000000,349.379450
4,218101.985220,130497.000000,40.583248
8,500182.378568,275674.000000,71.365258
16,385239.468279,282521.000000,249.847954
32,348567.309506,221161.000000,7277.410803
64,127807.287492,63049.000000,133.618861
128,677347.271523,300647.000000,696.457465
256,541339.472578,241868.000000,3975.613412
512,727903.800351,291722.000000,54690.833802
1024,309806.623143,134583.000000,13959.012787
2048,607656.860200,276574.000000,25132.368153
4096,720004.471379,253326.000000,447061.826051
8192,1300316.011823,253428.000000,717064.514845
16384,808550.021222,258201.000000,339997.930378
32768,622572.357136,231801.000000,385839.430341
65536,1362312.844868,317901.000000,1359400.699797
