frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,410644.892682,203550.000000,30.298515
4,446345.569180,227108.000000,48.754487
8,314262.049705,151763.000000,452.939290
16,377023.685533,165644.000000,921.888280
32,454608.852954,246196.000000,233.538005
64,257035.529408,211247.000000,5354.712411
128,661056.624017,280660.000000,695.013669
256,369945.446223,204600.000000,1113.069180
512,670466.827907,284314.000000,5258.990017
1024,467165.632912,287647.000000,244698.379504
2048,223148.261665,95079.000000,19860.360118
4096,505309.836062,268847.000000,69135.026557
8192,1124304.754351,290914.000000,151888.390962
16384,259565.000828,83280.000000,38743.906179
32768,1156698.623423,297950.000000,856142.444971
65536,1029674.694610,151315.000000,978264.284458
