frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,76247.459774,47343.000000,20.322401
4,207236.537785,135641.000000,17.233688
8,68142.060161,50572.000000,148.499158
16,341999.806246,275177.000000,41.629317
32,55113.353926,27521.000000,151.334068
64,95973.312858,53771.000000,512.932744
128,132624.564380,114322.000000,521.185188
256,54173.058055,35814.000000,1013.490997
512,70963.944162,49602.000000,6086.974454
1024,196368.111217,118267.000000,2540.526323
2048,296110.017377,240008.000000,16862.182065
4096,77540.203849,45295.000000,6733.170204
8192,86795.120053,69425.000000,21371.358895
16384,123405.543522,89028.000000,44884.759819
32768,127548.829842,106817.000000,7162.991763
65536,575533.936410,235986.000000,367132.467599
