frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,385826.350753,234407.000000,37.523326
4,451085.524941,274187.000000,12.806248
8,319926.417720,263647.000000,100.533576
16,262465.474789,247357.000000,83.228601
32,79105.752452,54734.000000,64.583280
64,352604.284699,269867.000000,63.482281
128,289178.114431,189704.000000,419.914277
256,184993.803361,142589.000000,846.017730
512,169142.233588,88239.000000,1759.828401
1024,199665.616567,154720.000000,11383.917472
2048,205641.978210,121873.000000,3326.360474
4096,71104.383669,38398.000000,18407.793214
8192,92159.107342,67804.000000,12520.998762
16384,563756.740373,292911.000000,416361.327304
32768,172152.410329,105975.000000,64141.737153
65536,384458.468567,176688.000000,354365.436815
