batch,Dynamic,Dynamic_BAL,RFDynamic
1,5447.1784,5447.1784,2076.2745
2,2040.7920,2040.7920,3250.9003
3,3640.9879,3640.9879,3640.9879
4,4986.6116,4986.6116,4986.6116
5,5987.1955,5987.1955,5987.1955
6,4664.3107,4664.3107,4664.3107
7,6574.0268,6574.0268,6574.0268
8,10403.4992,10403.4992,10403.4992
9,12668.8118,12668.8118,12668.8118
10,10778.6610,10778.6610,10778.6610
11,4936.5932,4936.5932,4936.5932
12,969.9644,969.9644,969.9644
13,1828.2935,1828.2935,1828.2935
14,3608.0093,3608.0093,3608.0093
15,4781.0846,4781.0846,4781.0846
16,5194.7408,5194.7408,5194.7408
17,10819.9947,10819.9947,10819.9947
18,16713.9808,16713.9808,16713.9808
19,17650.7512,17650.7512,17650.7512
20,18568.0537,18568.0537,18568.0537
21,18747.6302,18747.6302,18747.6302
22,19974.2278,19974.2278,19974.2278
23,20346.3399,20346.3399,20346.3399
24,16039.7646,16039.7646,16039.7646
25,17379.6236,17379.6236,17379.6236
26,19359.5434,19359.5434,19359.5434
27,22273.9710,22273.9710,22273.9710
28,26408.2572,26408.2572,26408.2572
29,27652.8251,27652.8251,27652.8251
30,24577.0997,24577.0997,24577.0997
31,25082.3227,25082.3227,25082.3227
32,31432.7663,31432.7663,31432.7663
33,38135.3021,38135.3021,38135.3021
34,38355.4418,38355.4418,38355.4418
35,34177.2866,34177.2866,34177.2866
36,28880.5208,28880.5208,28880.5208
37,26045.2282,26045.2282,26045.2282
38,25768.8343,25768.8343,25768.8343
39,28410.2031,28410.2031,28410.2031
40,30006.2616,30006.2616,30006.2616
41,30407.5467,30407.5467,30407.5467
42,32419.2408,32419.2408,32419.2408
43,30735.9292,30735.9292,30735.9292
44,27821.6653,27821.6653,27821.6653
45,27636.3309,27636.3309,27636.3309
46,29855.9057,29855.9057,29855.9057
47,28301.4441,28301.4441,28301.4441
48,30696.6500,30696.6500,30696.6500
49,32688.5511,32688.5511,32688.5511
50,37927.6752,37927.6752,40020.4713
51,174553.2670,174551.9763,191888.7762
52,7696.3349,7696.3419,13237.1140
53,7670.7766,7670.7766,729.7787
54,14341.5894,14341.5894,859.7709
55,3016.6498,3016.6498,730.7003
56,183961.1631,183961.1631,183149.3336
57,3393.7862,3393.7862,1174.8455
58,16873.7736,16873.7736,140611.9431
59,8466.9697,8466.9697,658.7298
60,42941.4502,42941.4502,159460.4591
61,20679.9369,20679.9369,3602.8580
62,4140.5203,4140.5203,1484.3783
63,3302.8951,3302.8951,3123.0791
64,6001.2585,6001.2585,1448.5175
65,12072.3136,12072.3136,1028.5436
66,3707.8708,3707.8708,2078.2654
67,4548.4985,4548.4985,2661.8903
68,4904.1924,4904.1924,1363.2483
69,4151.5577,4151.5577,2940.7482
70,6389.9973,6389.9973,432.7089
71,18106.6286,18106.6286,477.2452
72,5298.2513,5298.2513,2435.5907
73,4690.3001,4690.3001,472.4246
74,17656.9838,17656.9838,32703.5140
75,2804.4664,2804.4664,6441.6059
76,25573.6986,25573.6986,47399.3374
77,9958.0001,9958.0001,1115.0942
78,48647.9719,48647.9719,82184.5737
79,4340.4946,4340.4946,12734.4498
80,35999.7945,35999.7945,74311.4457
81,7183.3014,7183.3014,30466.4580
82,2610.3009,2610.3009,1291.7062
83,7704.2595,7704.2595,330.5647
84,2562.3021,2562.3021,1353.6429
85,9350.1644,9350.1644,717.8579
86,7059.0257,7059.0257,8914.0738
87,12356.0871,12356.0871,19497.0935
88,5999.5736,5999.5736,11186.7068
89,6832.3735,6832.3735,394.1662
90,1796.6524,1796.6524,806.4750
91,7183.7620,7183.7620,1046.8333
92,11434.1835,11434.1835,617.8196
93,34248.7768,34248.7768,61254.1606
94,22891.2077,22886.2092,23809.7119
95,6734.7284,6734.7284,2086.3384
96,9093.6379,9093.6379,5100.5951
97,2048.7508,2048.7508,1461.5954
98,5191.6926,5191.6926,928.8638
99,10226.2049,10226.2049,2296.5370
100,5335.0464,5335.0464,5191.3538
