frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
2,228695.045970,228695.045970,228695.045970,228695.045970,228695.045970,228695.045970
4,329159.568315,329159.568315,329159.568315,329159.568315,329159.568315,329159.568315
8192,418555.893051,418555.893051,418555.893051,418555.893051,418555.893051,418555.893051
8,419081.536800,419081.536800,419081.536800,419081.536800,419081.536800,419081.536800
32,664393.454472,664393.454472,664393.454472,664393.454472,664393.454472,664393.454472
128,856775.050720,856775.050720,856775.050720,856775.050720,856775.050720,856775.050720
16,749985.797185,749985.797185,749985.797185,749985.797185,749985.797185,749985.797185
4096,965574.193306,965574.193306,965574.193306,965574.193306,965574.193306,965574.193306
1024,970426.593560,970426.593560,970426.593560,970426.593560,970426.593560,970426.593560
512,979979.992998,979979.992998,979979.992998,979979.992998,979979.992998,979979.992998
64,1180952.233570,1180952.233570,1180952.233570,1180952.233570,1180952.233570,1180952.233570
256,1322810.372385,1322787.241977,1322787.241977,1322810.372385,1322810.372385,1322787.241977
2048,1680511.547336,1680511.547336,1680511.547336,1680511.547336,1680511.547336,1680511.547336
16384,2017722.635518,2018250.628264,2018250.628264,2018250.628264,2018250.628264,2018250.628264
32768,1897255.911773,1897255.911773,1897255.911773,1897255.911773,1897255.911773,1897255.911773
65536,3768819.078648,3773151.466341,3773151.466341,3773151.466341,3773151.466341,3773151.466341
