frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
32768,1253387.961058,1253387.961058,1253387.961058,1253387.961058,1253387.961058,1253387.961058
2,523599.562941,523599.562941,523599.562941,523599.562941,523599.562941,523599.562941
4,382028.707408,382028.707408,382028.707408,382028.707408,382028.707408,382028.707408
512,694541.679211,694541.679211,694541.679211,694541.679211,694541.679211,694541.679211
2048,607449.152762,607396.844885,607396.844885,607396.844885,607396.844885,607396.844885
64,553385.846823,553385.846823,553385.846823,553385.846823,553385.846823,553385.846823
16,729729.537175,729729.537175,729729.537175,729729.537175,729729.537175,729729.537175
8192,1099707.494693,1099707.494693,1099707.494693,1099707.494693,1099707.494693,1099707.494693
8,645840.292269,645840.292269,645840.292269,645840.292269,645840.292269,645840.292269
4096,1040369.227517,1041768.183082,1041768.183082,1041768.183082,1041768.183082,1041768.183082
32,751159.581603,751159.581603,751159.581603,751159.581603,751159.581603,751159.581603
128,1009615.263269,1009615.263269,1009615.263269,1009615.263269,1009615.263269,1009615.263269
1024,1141000.696532,1141000.696532,1141000.696532,1141000.696532,1141000.696532,1141000.696532
256,1289573.715903,1289573.715903,1289573.715903,1289573.715903,1289573.715903,1289573.715903
16384,2420668.307478,2420668.307478,2420668.307478,2420668.307478,2420668.307478,2420668.307478
65536,1899027.416384,1899027.416384,1899027.416384,1899027.416384,1899027.416384,1899027.416384
