frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
4,287119.363758,286821.528760,286677.952832,286677.952832,286751.406739,286677.952832
4096,522634.879153,529897.067571,532207.187924,535391.618385,535391.618385,535331.714968
2,496875.657557,497394.249135,499267.089324,499337.712281,499654.355449,499267.089324
8,664076.145759,664963.517305,664963.517305,664963.517305,664963.517305,664963.517305
32,690239.938665,701771.903553,702820.568011,702852.018224,702852.018224,702820.568011
512,781173.285711,788367.897111,788367.897111,788367.897111,788367.897111,788367.897111
256,1080687.439774,1085534.272819,1085534.272819,1085534.272819,1085534.272819,1085534.272819
32768,948992.852271,973740.483718,973730.550141,973761.970943,973761.970943,973760.591810
64,1117410.740313,1120772.869970,1120772.869970,1120772.869970,1120772.869970,1120772.869970
16,1053703.791204,1056161.438215,1056161.438215,1056161.438215,1056152.342558,1056161.438215
8192,1060252.645694,1065210.683356,1065210.683356,1065210.683356,1063783.536008,1065210.932376
128,1321850.657848,1333694.571847,1335455.090801,1335455.090801,1335455.090801,1293720.721560
65536,814811.076380,844176.801879,844179.327473,844179.327473,841448.498630,844179.327473
2048,1522903.422686,1539213.345055,1539676.411977,1539676.411977,1539676.411977,1539676.411977
16384,1524779.076289,1542014.809743,1542014.809743,1550405.904262,1550406.074471,1491590.945036
1024,1681692.900618,1700382.313631,1700382.313631,1700382.313631,1700382.313631,1662700.374270
