frequency,Dynamic_BAL_njobs100_mode0_L2_norm_flow_time,Dynamic_BAL_njobs100_mode0_maximum_flow_time,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_maximum_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_maximum_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_maximum_flow_time,Dynamic_BAL_njobs100_mode8_L2_norm_flow_time,Dynamic_BAL_njobs100_mode8_maximum_flow_time,Dynamic_BAL_njobs100_mode16_L2_norm_flow_time,Dynamic_BAL_njobs100_mode16_maximum_flow_time
2,417834.547685,6839.000000,417145.881235,8212.000000,417834.547685,6839.000000,417834.547685,6839.000000,417834.547685,6839.000000,417834.547685,6839.000000
4,238631.853023,4269.000000,239010.593830,5431.000000,238631.853023,4269.000000,238631.853023,4269.000000,238631.853023,4269.000000,238631.853023,4269.000000
65536,508257.695899,16054.000000,486858.550751,16054.000000,491769.512554,16054.000000,508257.695899,16054.000000,508257.695899,16054.000000,508257.695899,16054.000000
32768,1590872.795200,79085.000000,1580797.864023,47618.000000,1627175.272167,28031.000000,1655041.602807,25634.000000,1656018.688928,25634.000000,1656018.688928,25634.000000
32,764960.419232,12537.000000,751026.207051,22247.000000,764960.419232,12537.000000,764960.419232,12537.000000,764960.419232,12537.000000,764960.419232,12537.000000
128,997222.768862,19907.000000,989854.714925,19907.000000,997222.768862,19907.000000,997222.768862,19907.000000,997222.768862,19907.000000,997222.768862,19907.000000
256,1078922.862535,18473.000000,1078728.153018,18473.000000,1078922.862535,18473.000000,1078922.862535,18473.000000,1078922.862535,18473.000000,1078922.862535,18473.000000
1024,937425.033692,16944.000000,924961.677964,16944.000000,937425.033692,16944.000000,937425.033692,16944.000000,937425.033692,16944.000000,937425.033692,16944.000000
64,911907.483211,14638.000000,909733.813189,14638.000000,910286.713499,14638.000000,911907.483211,14638.000000,911907.483211,14638.000000,911907.483211,14638.000000
16384,1772022.142900,103472.000000,1788825.551883,34979.000000,1832281.103621,30949.000000,1842360.051992,30949.000000,1842360.051992,30949.000000,1842360.051992,30949.000000
16,946690.032100,17255.000000,946689.459636,17255.000000,946690.032100,17255.000000,946690.032100,17255.000000,946690.032100,17255.000000,946690.032100,17255.000000
8,725073.493914,10662.000000,722228.094539,12271.000000,725073.493914,10662.000000,725073.493914,10662.000000,725073.493914,10662.000000,725073.493914,10662.000000
2048,1186039.337386,19909.000000,1138059.998783,33050.000000,1181442.446480,19909.000000,1186039.337386,19909.000000,1186039.337386,19909.000000,1186039.337386,19909.000000
512,1267572.144362,55293.000000,1280339.749538,23943.000000,1289579.443743,23738.000000,1305440.328090,23336.000000,1305440.328090,23336.000000,1305440.328090,23336.000000
8192,1649915.631055,87638.000000,1728602.122153,30004.000000,1767929.144860,30004.000000,1770026.464417,30004.000000,1794327.621087,30004.000000,1794327.621087,30004.000000
4096,2477792.028493,133316.000000,2518626.327214,40856.000000,2535384.058712,40856.000000,2536001.350977,40856.000000,2536001.350977,40856.000000,2536001.350977,40856.000000
