frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
16384,177368.187570,177368.187570,177368.187570,177368.187570,177368.187570,177368.187570
16,528601.182368,528601.182368,528601.182368,528601.182368,528601.182368,528601.182368
2,457991.346070,457991.346070,457991.346070,457991.346070,457991.346070,457991.346070
8,449984.976333,449984.976333,449984.976333,449984.976333,449984.976333,449984.976333
4,510733.901880,510733.901880,510733.901880,510733.901880,510733.901880,510733.901880
65536,1615957.209724,1615957.209724,1615957.209724,1615957.209724,1615957.209724,1615957.209724
512,975201.806942,975201.806942,975201.806942,975201.806942,975201.806942,975201.806942
1024,677024.516182,677024.516182,677024.516182,677024.516182,677024.516182,677024.516182
64,849423.520662,849423.520662,849423.520662,849423.520662,849423.520662,849423.520662
32,979791.366708,979791.366708,979791.366708,979791.366708,979791.366708,979791.366708
128,1132463.220598,1132463.220598,1132463.220598,1132463.220598,1132463.220598,1132463.220598
4096,1026104.494348,1026104.494348,1026104.494348,1026104.494348,1026104.494348,1026104.494348
8192,1308196.304872,1308196.304872,1308196.304872,1308196.304872,1308196.304872,1308196.304872
2048,1282754.413828,1282754.413828,1282754.413828,1282754.413828,1282754.413828,1282754.413828
256,1082129.626992,1082129.626992,1082129.626992,1082129.626992,1082129.626992,1082129.626992
32768,1002686.029254,1002686.029254,1002686.029254,1002686.029254,1002686.029254,1002686.029254
