frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,425127.517000,118145.000000,3425.124377
4,587511.582093,159649.000000,608.616464
8,577418.461542,124648.000000,5259.235496
16,635006.123029,200377.000000,15066.890323
32,562361.457211,160480.000000,1898.424347
64,1486196.081559,299849.000000,299922.275848
128,632164.801960,108956.000000,25146.331820
256,717756.840933,200442.000000,35942.580570
512,703490.607749,146673.000000,111155.148027
1024,857288.282711,243904.000000,94473.842195
2048,1046539.912799,226971.000000,261704.933620
4096,610441.753095,135748.000000,164221.869722
8192,1301800.787929,255980.000000,681754.043076
16384,1057576.221911,213146.000000,170223.725520
32768,1465284.280978,218326.000000,1115638.468684
65536,1086823.531188,249830.000000,622750.770970
