frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,233314.832510,66527.000000,1308.048546
4,355503.307430,88937.000000,484.738074
8,841532.364634,245468.000000,22188.769975
16,170416.075427,39800.000000,133.334167
32,543460.940307,116688.000000,2310.179863
64,912305.548008,186612.000000,114527.322679
128,847221.373415,267196.000000,20051.934545
256,929937.313010,257418.000000,38155.590980
512,1125269.081680,256925.000000,114048.187965
1024,1124793.955943,168021.000000,59116.847421
2048,329232.822284,125130.000000,20094.792460
4096,904211.556614,268982.000000,94420.642510
8192,757008.689728,200323.000000,309954.766931
16384,1723151.434039,239212.000000,1011855.493821
32768,1202479.864950,145493.000000,797330.733573
65536,866514.255303,167615.000000,0.000000
