frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,250336.241973,152245.000000,246.469065
4,156439.957604,87069.000000,712.030196
8,75902.443689,25232.000000,115.308282
16,165952.946843,79551.000000,56.982453
32,175239.847438,96537.000000,151.082759
64,592807.903959,290660.000000,1781.097695
128,193263.202100,164454.000000,3070.200971
256,366527.456018,186849.000000,34597.420193
512,327512.878246,153666.000000,76017.522289
1024,253488.762317,144398.000000,8187.404900
2048,160728.480808,100201.000000,31362.405074
4096,580660.223059,183106.000000,180612.269962
8192,420626.198184,214754.000000,92918.328305
16384,276532.994532,116026.000000,72907.222406
32768,426556.836443,121285.000000,225476.535325
65536,324032.399781,88125.000000,307652.637712
