frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,263956.401873,87839.000000,84.386018
4,200303.313587,100982.000000,2905.472423
8,608134.685206,254975.000000,2308.915546
16,593087.976702,231878.000000,4418.045722
32,148064.243162,43946.000000,5282.512376
64,191079.063160,63095.000000,497.659522
128,416381.385498,153970.000000,11498.245344
256,659227.503684,209506.000000,2077.860679
512,369644.195635,145908.000000,4536.561914
1024,857608.152977,261475.000000,61440.467259
2048,725877.402969,217860.000000,51700.990590
4096,636364.415857,233285.000000,73237.116382
8192,576449.955662,217121.000000,367856.826774
16384,471730.930471,89357.000000,248940.132433
32768,843223.613805,204230.000000,454381.647707
65536,558048.224431,162831.000000,491890.824034
