frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,438682.736934,134163.000000,3077.012350
4,424653.727718,136579.000000,372.021505
8,520277.812331,222384.000000,2853.684285
16,330121.324025,118640.000000,5530.663884
32,949981.737800,253203.000000,24758.761580
64,871017.601879,292291.000000,12462.935048
128,877052.677804,262875.000000,35854.330519
256,1510611.490731,280028.000000,104777.522780
512,1356327.934972,265440.000000,131100.507951
1024,1157761.259480,189064.000000,32844.228839
2048,1854372.304978,290056.000000,210457.822570
4096,312104.963780,52352.000000,70926.324288
8192,553761.266886,80953.000000,179076.346012
16384,2251104.258699,226567.000000,1061146.733813
32768,2163427.546481,223008.000000,1242823.425509
65536,1293989.295496,238141.000000,0.000000
