frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,163640.179265,72321.000000,39.051248
4,447393.823987,190438.000000,942.194247
8,204848.975384,72340.000000,125.000000
16,284145.678169,184735.000000,140.107102
32,416672.780858,141901.000000,1784.900277
64,463782.959461,129590.000000,16547.669866
128,568956.687464,190606.000000,3085.611609
256,839658.317042,287742.000000,16424.717258
512,610585.395125,194187.000000,4973.526616
1024,1049803.979371,336472.000000,163749.882904
2048,402603.168448,171185.000000,80861.136351
4096,512169.323100,185260.000000,133159.156103
8192,624910.684129,281186.000000,265670.066368
16384,200860.364911,57831.000000,147471.513995
32768,990445.428804,258429.000000,754106.335641
65536,456992.760559,159206.000000,424767.211396
