frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,78294452.825229,2173748.000000
4,77929178.591546,2203897.000000
8,78787555.160681,2093936.000000
16,80529625.121182,2190348.000000
32,80979334.172219,2193343.000000
64,82389085.693996,2160124.000000
128,82194605.814633,2197008.000000
256,80494205.531206,2116769.000000
512,77664003.734303,2232837.000000
1024,83141357.575713,2190944.000000
2048,75958838.863016,2184295.000000
4096,77511741.475020,2024524.000000
8192,85864744.716366,2199226.000000
16384,58180035.134588,1979370.000000
32768,104030739.710226,2323728.000000
65536,94189923.085370,2069843.000000
