frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,79296845.043346,2279037.000000
4,77785640.800541,2596924.000000
8,80219308.943571,2264269.000000
16,79742084.122174,2200580.000000
32,81491993.505585,2388946.000000
64,80804525.586885,2260686.000000
128,80519673.229194,2173955.000000
256,79438695.455403,2177879.000000
512,79865387.366877,2270109.000000
1024,80874980.894652,2179971.000000
2048,84311764.509988,2294074.000000
4096,72699358.866755,2124191.000000
8192,89486674.556226,2252990.000000
16384,67795549.639911,2112289.000000
32768,73524627.953245,2035018.000000
65536,87639088.120569,2250296.000000
