frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,77422025.006110,2189859.000000
4,79149287.560847,2117025.000000
8,79864729.378167,2164234.000000
16,80958654.644039,2179306.000000
32,82452545.239677,2401284.000000
64,79323897.071191,2172390.000000
128,81285371.634384,2211700.000000
256,81487341.898357,2184595.000000
512,77921416.402986,2212362.000000
1024,81605271.873061,2182740.000000
2048,87920604.835229,2250698.000000
4096,74901896.670558,2189295.000000
8192,64630284.514354,2154856.000000
16384,88138346.830527,2121670.000000
32768,84439735.859023,2502149.000000
65536,131116871.012291,2190379.000000
