frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,79440451.286711,2258785.000000
4,79083518.318963,2277342.000000
8,79375908.039176,2312862.000000
16,78836524.134654,2096151.000000
32,79804554.713087,2296324.000000
64,82227424.477404,2158464.000000
128,81651829.716950,2104553.000000
256,81137009.264950,2205351.000000
512,83980049.706342,2232214.000000
1024,83425614.685444,2219021.000000
2048,81417231.101095,2156841.000000
4096,82833081.945750,2310737.000000
8192,81023084.330022,2142886.000000
16384,71413321.387475,2074342.000000
32768,87910563.434546,2160280.000000
65536,101851221.044479,2201638.000000
