frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,79508818.147316,2266988.000000
4,78353471.068237,2293418.000000
8,79676168.920806,2205089.000000
16,81022548.123302,2261483.000000
32,77590939.462303,2151881.000000
64,80630621.323490,2241553.000000
128,79615236.387090,2146155.000000
256,82618522.395460,2190606.000000
512,79677402.829232,2237617.000000
1024,77774889.322007,2209789.000000
2048,78712935.614636,2080601.000000
4096,83053365.131018,2201194.000000
8192,61695658.268774,2243607.000000
16384,83271258.895264,2265363.000000
32768,99599492.193670,2619714.000000
65536,48808557.840835,2197829.000000
