frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,79227947.037303,2148272.000000
4,80279474.243014,2142636.000000
8,81516902.725104,2176624.000000
16,79513930.423104,2191358.000000
32,77940019.232501,2206549.000000
64,80879952.861234,2245397.000000
128,80273851.472667,2181253.000000
256,81129099.052089,2253333.000000
512,77637108.222719,2141024.000000
1024,80471200.220381,2164529.000000
2048,78076076.050799,2072406.000000
4096,82508555.941254,2098558.000000
8192,68324408.998550,1995550.000000
16384,87960608.193840,2104761.000000
32768,75607104.805307,2154741.000000
65536,95209869.435536,2268589.000000
