frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,79003252.297427,2291426.000000
4,77977535.967519,2120879.000000
8,78274753.109375,2147703.000000
16,79613084.789568,2164984.000000
32,80700412.181142,2188435.000000
64,80751607.936553,2142047.000000
128,82863899.828962,2282054.000000
256,80008067.246998,2161395.000000
512,81938347.864646,2244505.000000
1024,80401905.516190,2243709.000000
2048,86132176.489351,2405876.000000
4096,73859707.637484,2154379.000000
8192,83676102.403688,2158213.000000
16384,83446893.953605,2268045.000000
32768,62487220.655801,2042818.000000
65536,103137889.762660,2434576.000000
