frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,78288455.940890,2258606.000000
4,78684880.168468,2428944.000000
8,79154353.984490,2387687.000000
16,79928155.878967,2175773.000000
32,82464748.613094,2139969.000000
64,81186744.608038,2175863.000000
128,79276584.170371,2179099.000000
256,79871578.570741,2228974.000000
512,80153504.348682,2207005.000000
1024,82193563.826289,2222085.000000
2048,76011100.008804,2140890.000000
4096,78873359.067482,2329306.000000
8192,78811301.560652,2067576.000000
16384,83887869.381122,2241746.000000
32768,82668088.334732,2312866.000000
65536,66000520.060633,1905719.000000
