frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,78442712.530922,2324438.000000
4,79301535.410617,2270028.000000
8,80559231.866629,2231220.000000
16,79780584.565720,2249476.000000
32,82298308.675325,2167928.000000
64,80525280.728275,2228497.000000
128,81702662.204933,2133154.000000
256,84166208.031850,2263284.000000
512,83951013.064586,2229331.000000
1024,78223242.548217,2150471.000000
2048,83264256.779545,2211733.000000
4096,82551256.195685,2234641.000000
8192,83145140.127284,2193244.000000
16384,93058292.346476,2100972.000000
32768,69795317.982475,2112996.000000
65536,123811342.451345,2238297.000000
