batch,SRPT,FCFS,BAL,SJF,RR,RMLF,MLFQ,SETF
1,6527.3066,2076.2745,6527.3066,6462.4273,4275.3084,46117.4391,22015.2299,75498.8189
2,25809.8269,3250.9003,25788.9204,25729.9589,5052.0236,29336.5694,51643.2947,68999.3133
3,9046.9989,3640.9879,9046.9989,8182.5244,6143.2479,12647.7283,80787.4620,61227.5611
4,22374.9299,4986.6116,22355.2638,22127.2608,9389.3929,30179.0233,110282.2616,59083.5645
5,26110.4951,5987.1955,26110.4951,26114.7656,10024.5153,32571.3328,138730.2964,44777.5411
6,15437.3108,4664.3107,15437.3108,15446.1185,8132.1436,29492.2588,169461.3768,54373.7578
7,19491.8401,6574.0268,19491.8401,19071.5560,13728.8758,41754.9015,198833.8839,43599.5516
8,16862.4840,10403.4992,16862.4840,16804.9431,20417.6606,37435.7131,224791.1571,37271.1967
9,12100.3726,12668.8118,12100.3726,11886.6093,21457.8755,34378.3191,252265.2549,23989.5315
10,3377.0697,10778.6610,3377.0697,3192.8273,17273.8205,19707.9919,283951.5646,9192.0386
11,1581.3839,4936.5932,1582.9953,1564.0758,7411.7983,7338.4788,318942.5576,2732.3649
12,1272.1883,969.9644,1272.1883,1107.4042,1510.5155,2292.4923,354422.1198,3121.6321
13,2181.0729,1828.2935,2181.0729,2126.8282,2954.8878,4348.3871,389558.9447,4981.8443
14,111618.4915,3608.0093,30826.3027,111597.8618,6591.3917,116188.6904,422434.2796,309784.7199
15,166894.0430,4781.0846,50994.9040,166851.9014,8648.2805,161608.7286,450105.4055,323766.7499
16,107549.2205,5194.7408,35875.3542,107514.8666,10060.5119,125758.5119,479012.1237,252776.0433
17,149518.8828,10819.9947,53038.4701,149364.8038,23407.2998,165133.1356,503381.0524,388128.2489
18,109840.6835,16713.9808,50076.0317,109785.2808,32897.2537,135149.8011,528662.6144,366033.7418
19,88527.7655,17650.7512,42533.4742,88327.7143,30630.9955,122826.6566,556628.8842,190680.7255
20,136166.6009,18568.0537,52380.8411,135895.9113,34384.8628,156302.0516,585551.2093,271800.6169
21,123224.8792,18747.6302,51785.7669,123201.6075,35662.3216,118313.6134,616018.7004,268399.1147
22,91847.9186,19974.2278,41741.3415,90662.0306,35896.1556,117021.6500,644835.7259,272622.0338
23,96705.9746,20346.3399,41267.2551,96641.8839,33038.9335,121387.8967,673325.4379,180589.6551
24,38739.5836,16039.7646,28514.2772,38713.8936,28777.6436,79740.0781,706351.6508,249702.6186
25,78314.8385,17379.6236,34220.9890,78298.8677,33272.0521,109851.1215,733807.8526,244775.9474
26,81200.0959,19359.5434,55410.1062,81182.3050,37075.9962,111589.6141,761925.6382,234985.5497
27,21492.9654,22273.9710,62393.9660,21383.3705,43119.5144,107976.2481,791813.3687,233564.2539
28,167314.1986,26408.2572,90487.7336,167209.9825,51535.9158,216580.1573,820450.9674,269908.3787
29,54905.6922,27652.8251,57251.4488,54533.0824,47511.9742,123035.1070,851235.2427,173990.0670
30,22990.3218,24577.0997,43468.9660,22905.6089,42602.9613,96895.5863,884355.6034,169412.1062
31,128343.8994,25082.3227,88012.3371,128247.0410,59534.3978,164425.8399,913468.1026,261255.5167
32,29655.7586,31432.7663,61724.4034,28978.8567,61913.8318,100578.1572,938841.8093,212562.9595
33,62336.9030,38135.3021,55238.9011,62290.6619,66697.6709,133540.5722,962353.7823,203542.6512
34,57150.8066,38355.4418,41590.2926,57152.5138,61803.8323,132768.9833,992554.2274,150130.8737
35,57532.5916,34177.2866,41182.6543,57504.2557,55373.2893,119567.7215,1025623.8220,95286.9412
36,46998.5227,28880.5208,40283.5131,46985.1293,48632.6430,104503.6040,1059184.1189,130330.9260
37,66420.2144,26045.2282,65001.6432,66019.3501,47662.7845,118976.2608,1091651.8038,118114.7635
38,6267.1575,25768.8343,43036.2346,6105.5019,48865.5516,97384.2169,1120860.0347,144229.8735
39,45470.3639,28410.2031,72987.4100,45432.1387,52673.7696,103138.2406,1149751.7912,147812.3272
