Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
32,4.073000,262144.000000,83588.965665,49557.000000
32,4.639000,32768.000000,172602.737058,105989.000000
32,5.649000,4096.000000,207985.971803,64098.000000
32,7.918000,512.000000,147489.419858,24206.000000
32,16.772000,64.000000,71546.750136,3772.000000
32,30.000000,6.000000,89166.594328,4310.000000
32,30.000000,9.000000,88302.850158,4196.000000
32,30.000000,12.000000,78786.894202,4057.000000
32,30.000000,15.000000,93553.244877,6118.000000
32,30.000000,18.000000,120019.865564,7456.000000
