Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
40,4.073000,262144.000000,109231.132146,74500.000000
40,4.639000,32768.000000,76909.111034,48634.000000
40,5.649000,4096.000000,55731.352370,18286.000000
40,7.918000,512.000000,39368.093578,9940.000000
40,16.772000,64.000000,19028.660279,1418.000000
40,30.000000,6.000000,21193.391753,1713.000000
40,30.000000,9.000000,21309.570925,1469.000000
40,30.000000,12.000000,19482.135920,1210.000000
40,30.000000,15.000000,22537.308180,2294.000000
40,30.000000,18.000000,23534.650943,2279.000000
