Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
32,4.073000,262144.000000,99786.089446,71550.000000
32,4.639000,32768.000000,347826.517651,242377.000000
32,5.649000,4096.000000,242767.467386,78426.000000
32,7.918000,512.000000,82381.858331,13647.000000
32,16.772000,64.000000,95967.081450,5286.000000
32,30.000000,6.000000,74196.036693,3322.000000
32,30.000000,9.000000,130093.042170,6850.000000
32,30.000000,12.000000,183681.363050,11618.000000
32,30.000000,15.000000,89446.803705,5411.000000
32,30.000000,18.000000,153410.096741,9870.000000
