Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
40,4.073000,262144.000000,64977.613530,34626.000000
40,4.639000,32768.000000,88118.753617,54416.000000
40,5.649000,4096.000000,76203.868957,22857.000000
40,7.918000,512.000000,29433.909237,4730.000000
40,16.772000,64.000000,20245.088170,1731.000000
40,30.000000,6.000000,21227.654345,1207.000000
40,30.000000,9.000000,19869.659106,1341.000000
40,30.000000,12.000000,18611.837255,1247.000000
40,30.000000,15.000000,22599.105358,1502.000000
40,30.000000,18.000000,25702.668247,2113.000000
