Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
22,4.073000,262144.000000,481496.433370,216497.000000
22,4.639000,32768.000000,1207628.789563,288873.000000
22,5.649000,4096.000000,2245648.483297,300451.000000
22,7.918000,512.000000,4435344.514159,278731.000000
22,16.772000,64.000000,10286920.394582,248081.000000
22,30.000000,6.000000,11534915.812056,231790.000000
22,30.000000,9.000000,10998293.982387,244270.000000
22,30.000000,12.000000,10295575.138878,248814.000000
22,30.000000,15.000000,9946400.978707,263091.000000
22,30.000000,18.000000,8858778.114897,243121.000000
