Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
24,4.073000,262144.000000,705204.858034,334108.000000
24,4.639000,32768.000000,543191.474900,195556.000000
24,5.649000,4096.000000,1935803.919952,263666.000000
24,7.918000,512.000000,3584141.185681,276889.000000
24,16.772000,64.000000,8106653.514977,222031.000000
24,30.000000,6.000000,8815086.435237,198707.000000
24,30.000000,9.000000,8498702.014932,218987.000000
24,30.000000,12.000000,7913334.786369,214326.000000
24,30.000000,15.000000,7318437.759656,217018.000000
24,30.000000,18.000000,7876676.114855,228019.000000
