Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
36,4.073000,262144.000000,86211.260338,48969.000000
36,4.639000,32768.000000,43706.274950,24816.000000
36,5.649000,4096.000000,44329.972355,13746.000000
36,7.918000,512.000000,45732.612007,9402.000000
36,16.772000,64.000000,32624.980690,2146.000000
36,30.000000,6.000000,40761.693083,2464.000000
36,30.000000,9.000000,34199.146495,2166.000000
36,30.000000,12.000000,30642.893238,1695.000000
36,30.000000,15.000000,28572.541014,1735.000000
36,30.000000,18.000000,33952.135529,2337.000000
