Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
28,4.073000,262144.000000,385113.115621,274511.000000
28,4.639000,32768.000000,193417.865876,106167.000000
28,5.649000,4096.000000,1018589.828798,277277.000000
28,7.918000,512.000000,1648935.791239,172654.000000
28,16.772000,64.000000,2513038.197929,89447.000000
28,30.000000,6.000000,3670449.444872,101731.000000
28,30.000000,9.000000,3474562.599999,96529.000000
28,30.000000,12.000000,2497369.589263,90849.000000
28,30.000000,15.000000,4744592.107697,144891.000000
28,30.000000,18.000000,3968803.513311,143706.000000
