Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
34,4.073000,262144.000000,113253.991784,77392.000000
34,4.639000,32768.000000,346388.201661,196290.000000
34,5.649000,4096.000000,167987.469295,52397.000000
34,7.918000,512.000000,61276.432378,10303.000000
34,16.772000,64.000000,56883.632804,3388.000000
34,30.000000,6.000000,53107.375269,2866.000000
34,30.000000,9.000000,60733.495544,4282.000000
34,30.000000,12.000000,45874.142085,2782.000000
34,30.000000,15.000000,52170.949340,3228.000000
34,30.000000,18.000000,57937.071405,4634.000000
